firm_id,sic,employment,turnover_baseline,turnover_reported,registered,vat_liability,compliance_cost,scheme_used,profit_change,cash_flow_cost,effective_rate,total_burden,weight,scenario_id,scenario_name
firm_504427,43,3,73.75146,70.88008060190123,True,8.505609672228147,10.01,flat_rate,-32.400046496989084,0.0689769989857406,0.12,18.584586671213884,0.999487,S2_enhanced,Taper with Compliance
firm_1882666,70,4,78.08003,78.08003,True,9.3696036,10.01,flat_rate,-19.3796036,0.07598363467397261,0.12000000000000001,19.45558723467397,0.99932843,S2_enhanced,Taper with Compliance
firm_2223366,81,20,76.677635,76.677635,True,9.201316199999999,5.389999999999999,flat_rate,-14.591316199999998,0.07461889301917808,0.12,14.665935093019176,1.0003169,S2_enhanced,Taper with Compliance
firm_1632458,68,2,119.14286,119.14286,True,14.297143199999999,10.01,flat_rate,-24.3071432,0.11594395581369861,0.12,24.423087155813697,0.7682072,S2_enhanced,Taper with Compliance
firm_893792,47,4,101.41674,101.41674,True,7.6062555,10.01,flat_rate,-17.6162555,0.06168360624657534,0.075,17.677939106246576,2.0946014,S2_enhanced,Taper with Compliance
firm_58738,1,2,89.63426,89.63426,True,10.7561112,10.01,flat_rate,-20.766111199999997,0.08722764151232877,0.12,20.853338841512326,0.99969035,S2_enhanced,Taper with Compliance
firm_304716,41,12,89.32508,89.32508,True,8.4858826,7.699999999999999,flat_rate,-16.1858826,0.06881702053698631,0.095,16.254699620536986,2.5337405,S2_enhanced,Taper with Compliance
firm_1837334,70,4,97.34506,97.34506,True,11.6814072,10.01,flat_rate,-21.6914072,0.09473141181369864,0.12,21.786138611813698,0.7534723,S2_enhanced,Taper with Compliance
firm_1542081,63,4,101.99978,101.99978,True,12.239973599999999,10.01,flat_rate,-22.249973599999997,0.099261155769863,0.12,22.34923475576986,0.80693746,S2_enhanced,Taper with Compliance
firm_1732520,69,2,75.70331,75.70331,True,10.976979949999999,10.01,flat_rate,-20.98697995,0.08901879630684931,0.145,21.075998746306848,0.99989134,S2_enhanced,Taper with Compliance
firm_878034,47,1,103.223656,103.223656,True,7.7417742,10.01,flat_rate,-17.7517742,0.06278260721095891,0.075,17.81455680721096,2.1255436,S2_enhanced,Taper with Compliance
firm_54500,1,1,109.74241,109.74241,True,13.1690892,10.01,flat_rate,-23.1790892,0.10679590145753425,0.12,23.285885101457534,0.722732,S2_enhanced,Taper with Compliance
firm_2044263,73,1,97.83772,97.83772,True,11.7405264,10.01,flat_rate,-21.7505264,0.095210844230137,0.12,21.845737244230136,0.79203343,S2_enhanced,Taper with Compliance
firm_435320,43,4,72.05269,69.173993426114,True,8.30087921113368,10.01,flat_rate,-32.2306979380636,0.06731671908207039,0.12,18.378195930215753,1.8226339,S2_enhanced,Taper with Compliance
firm_1078360,49,3,107.21121,107.21121,True,12.865345199999998,10.01,flat_rate,-22.875345199999998,0.1043326624438356,0.12,22.979677862443832,0.742753,S2_enhanced,Taper with Compliance
firm_2464723,86,2,79.93176,79.93176,True,9.591811199999999,10.01,flat_rate,-19.6018112,0.07778564699178081,0.11999999999999998,19.67959684699178,0.13151138,S2_enhanced,Taper with Compliance
firm_1104164,49,1,107.92401,107.92401,True,12.9508812,10.01,flat_rate,-22.9608812,0.1050263242520548,0.12,23.065907524252054,0.7394947,S2_enhanced,Taper with Compliance
firm_1858007,70,3,111.23799,111.23799,True,13.3485588,10.01,flat_rate,-23.358558799999997,0.10825132615890411,0.12,23.4668101261589,0.7512562,S2_enhanced,Taper with Compliance
firm_457766,43,1,113.0136,113.0136,True,13.561632,10.01,flat_rate,-23.571632,0.10997926224657534,0.12,23.681611262246577,0.7548799,S2_enhanced,Taper with Compliance
firm_926355,47,2,96.65404,96.65404,True,7.249052999999999,10.01,flat_rate,-17.259052999999998,0.05878684076712328,0.075,17.31783984076712,0.9991945,S2_enhanced,Taper with Compliance
firm_2557382,90,2,119.705,119.705,True,14.3646,10.01,flat_rate,-24.3746,0.11649100273972601,0.12,24.491091002739726,0.7942237,S2_enhanced,Taper with Compliance
firm_60730,1,4,92.125534,92.125534,True,11.05506408,10.01,flat_rate,-21.06506408,0.08965202651178082,0.12,21.15471610651178,0.7136681,S2_enhanced,Taper with Compliance
firm_244296,31,3,92.00425,92.00425,True,11.04051,10.01,flat_rate,-21.05051,0.08953399890410958,0.12,21.14004399890411,0.85632235,S2_enhanced,Taper with Compliance
firm_876787,47,10,86.081085,86.081085,True,6.456081375,7.699999999999999,flat_rate,-14.156081375,0.05235616676712329,0.075,14.208437541767122,2.6080332,S2_enhanced,Taper with Compliance
firm_1383391,59,4,77.95063,77.95063,True,9.3540756,10.01,flat_rate,-19.3640756,0.07585770897534247,0.12,19.43993330897534,1.5775783,S2_enhanced,Taper with Compliance
firm_488782,43,128,86.83628,86.83628,True,10.4203536,5.389999999999999,flat_rate,-15.8103536,0.08450478535890411,0.12,15.894858385358903,2.0210927,S2_enhanced,Taper with Compliance
firm_1803575,70,1,98.6686,98.6686,True,11.840231999999999,10.01,flat_rate,-21.850232,0.09601941567123287,0.11999999999999998,21.94625141567123,0.75543344,S2_enhanced,Taper with Compliance
firm_1967330,71,2,115.62135,115.62135,True,13.874562000000001,10.01,flat_rate,-23.884562000000003,0.11251699594520548,0.12,23.99707899594521,0.9996114,S2_enhanced,Taper with Compliance
firm_242994,30,2,70.68137,69.10022707932197,True,8.292027249518636,10.01,flat_rate,-23.23903237889487,0.06724493331116484,0.12,18.369272182829803,1.0606446,S2_enhanced,Taper with Compliance
firm_1451951,62,4,98.146164,98.146164,True,11.77753968,10.01,flat_rate,-21.787539680000002,0.09551100672000001,0.12000000000000001,21.88305068672,0.99745667,S2_enhanced,Taper with Compliance
firm_2273991,82,3,104.67858,104.67858,True,12.561429599999999,10.01,flat_rate,-22.5714296,0.10186803182465752,0.12,22.673297631824656,0.5563976,S2_enhanced,Taper with Compliance
firm_134474,2,3,99.68687,99.68687,True,11.9624244,10.01,flat_rate,-21.9724244,0.09701034581917808,0.12,22.06943474581918,0.999948,S2_enhanced,Taper with Compliance
firm_1297095,56,4,82.8671,82.8671,True,10.3583875,10.01,flat_rate,-20.368387499999997,0.08400226575342465,0.125,20.452389765753423,0.98055017,S2_enhanced,Taper with Compliance
firm_2704698,96,10,108.32506,108.32506,True,14.082257799999999,7.699999999999999,flat_rate,-21.782257799999996,0.1142013235287671,0.13,21.896459123528764,0.47960484,S2_enhanced,Taper with Compliance
firm_1743179,69,6,71.595406,70.75369320640763,True,10.259285514929106,7.699999999999999,flat_rate,-22.158490084829644,0.08319858938134289,0.145,18.04248410431045,1.0036051,S2_enhanced,Taper with Compliance
firm_531493,43,2,79.88644,79.88644,True,9.5863728,10.01,flat_rate,-19.596372799999997,0.07774154380273973,0.12000000000000001,19.67411434380274,0.9996821,S2_enhanced,Taper with Compliance
firm_782478,46,3,84.605896,84.605896,True,10.15270752,10.01,flat_rate,-20.162707519999998,0.08233428564164383,0.12,20.24504180564164,0.9985238,S2_enhanced,Taper with Compliance
firm_1084376,49,4,81.04226,81.04226,True,9.7250712,10.01,flat_rate,-19.7350712,0.07886633082739727,0.12000000000000001,19.8139375308274,0.99924517,S2_enhanced,Taper with Compliance
firm_1437751,62,3,102.8232,102.8232,True,12.338784,10.01,flat_rate,-22.348784000000002,0.10006246750684933,0.12000000000000001,22.44884646750685,0.8085358,S2_enhanced,Taper with Compliance
firm_1079382,49,6,70.276955,68.10900309423637,True,8.173080371308364,7.699999999999999,flat_rate,-26.22166944484933,0.06628032301115824,0.12,15.939360694319522,1.4637821,S2_enhanced,Taper with Compliance
firm_881429,47,4,72.968994,71.23799874070671,True,5.342849905553003,10.01,flat_rate,-22.734659405716712,0.043328317042292855,0.075,15.396178222595298,1.7679801,S2_enhanced,Taper with Compliance
firm_463271,43,28,91.3125,91.3125,True,10.9575,5.389999999999999,flat_rate,-16.347499999999997,0.08886082191780822,0.12,16.436360821917805,0.7417966,S2_enhanced,Taper with Compliance
firm_1630582,68,6,99.86198,99.86198,True,11.9834376,7.699999999999999,flat_rate,-19.683437599999998,0.09718075423561645,0.12,19.780618354235614,0.76694006,S2_enhanced,Taper with Compliance
firm_1636054,68,4,75.194595,75.194595,True,9.023351400000001,10.01,flat_rate,-19.0333514,0.07317567162739727,0.12000000000000001,19.106527071627397,1.9628907,S2_enhanced,Taper with Compliance
firm_2449675,86,4,85.90561,85.90561,True,10.3086732,10.01,flat_rate,-20.3186732,0.08359910321095891,0.12,20.402272303210957,0.13578577,S2_enhanced,Taper with Compliance
firm_939747,47,5,82.67117,82.67117,True,6.20033775,7.699999999999999,flat_rate,-13.900337749999998,0.05028219106849315,0.075,13.950619941068492,1.786572,S2_enhanced,Taper with Compliance
firm_1649029,68,3,90.30967,90.30967,True,10.837160399999998,10.01,flat_rate,-20.8471604,0.08788491721643833,0.11999999999999998,20.93504531721644,0.75823516,S2_enhanced,Taper with Compliance
firm_2663556,96,5,87.85294,87.85294,True,11.420882200000001,7.699999999999999,flat_rate,-19.1208822,0.09261866112876714,0.13,19.213500861128768,0.479152,S2_enhanced,Taper with Compliance
firm_969317,47,2,94.47837,94.47837,True,7.08587775,10.01,flat_rate,-17.09587775,0.0574635565479452,0.075,17.153341306547944,1.0000585,S2_enhanced,Taper with Compliance
firm_162913,15,1,98.9783,98.9783,True,11.877396000000001,10.01,flat_rate,-21.887396000000003,0.09632080043835617,0.12000000000000001,21.98371680043836,1.2528093,S2_enhanced,Taper with Compliance
firm_878145,47,2,98.06595,98.06595,True,7.354946249999999,10.01,flat_rate,-17.36494625,0.05964559150684931,0.075,17.42459184150685,0.9997024,S2_enhanced,Taper with Compliance
firm_1980766,71,28,99.7559,99.7559,True,11.970707999999998,5.389999999999999,flat_rate,-17.360707999999995,0.09707752241095889,0.11999999999999998,17.457785522410955,0.7025038,S2_enhanced,Taper with Compliance
firm_1234905,56,20,74.19039,71.87652842486877,True,8.984566053108596,5.389999999999999,flat_rate,-26.00069773051643,0.07286113840329163,0.125,14.447427191511887,0.9699924,S2_enhanced,Taper with Compliance
firm_767480,46,1,75.564415,75.564415,True,9.067729799999999,10.01,flat_rate,-19.0777298,0.07353556221369861,0.11999999999999998,19.1512653622137,0.99969393,S2_enhanced,Taper with Compliance
